Ref. Publication date [year:mm:dd],Substrate,Electrode,TL1-front,TL2-front,TL3-front,Material,TL4-back,TL5-back,TL6-back,TL7-back,Electrode2,Cell. Area. Measured [cm^2],Cell. Architecture [nip/pin/ ?,Module [TRUE/FALSE],Perovskite. Band gap [Eg.1 | Eg.2 | ...] [eV],Stability. (H)
21/12/2018 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.066,nip,FALSE,1.63,37.33333333
11/01/2018 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.09,nip,FALSE,1.48,320
29/02/2016 00:00,SLG ,FTO , ZnO-np ,Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.15,pin,FALSE,1.6,160
29/04/2017 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.16,nip-mp,FALSE,1.6,160
16/12/2019 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.1,nip-mp,FALSE,1.6,22.22222222
19/03/2018 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.16,nip-mp,FALSE,1.6,5.333333333
21/11/2018 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.1,nip-mp,FALSE,1.6,44.44444444
11/07/2016 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.06,nip-mp,FALSE,1.6,444.4444444
22/02/2016 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.1,nip-mp,FALSE,1.5,31.11111111
30/01/2019,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.1,nip-mp,FALSE,1.6,1.333333333
05/08/2017 00:00,PEN ,ITO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.1,nip-mp,FALSE,1.6,222.2222222
20/01/2017 00:00,SLG ,FTO ," TiO2-(c, np, nw) ", TiO2-nanofibers ,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.081,nip,FALSE,1.6,64
08/07/2018 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, AZO ; AZO-np,Blank,Blank,Al,0.1,pin,FALSE,1.6,44.44444444
16/02/2016 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, AZO ; AZO-np,Blank,Blank,Al,0.12,pin,FALSE,1.6,2.222222222
07/09/2019,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , F2 , BCP , Mg ,Blank,Ag,0.16,pin,FALSE,1.6,177.7777778
26/02/2018 00:00,SLG ,FTO , NiMgLiO; NiMgliO-c,Blank,Blank, Perovskite , PCBM-60; PCBM-70, BCP ,Blank,Blank,Ag,0.09,pin,FALSE,1.6,44.44444444
03/01/2018 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, BCP ,Blank,Blank,Ag,0.1,pin,FALSE,1.6,37.33333333
13/09/2017 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, C60 , BCP ,Blank,Al,0.1,pin,FALSE,1.95,160
05/07/2019 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ,Blank,Blank,Blank,Blank, Carbon,0.1,nip,FALSE,1.6,32
02/02/2018 00:00,SLG ,ITO , Spiro-MeOTAD ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, LiF ,Blank,Blank,Ag,0.059,pin,FALSE,1.6,37.33333333
05/08/2020,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, Mg ,Blank,Blank,Ag,0.16,pin,FALSE,1.59,88.88888889
06/09/2017 00:00,SLG ,ITO ,"SnO2;  SnO2-(c, np, QDs) ", C60; C60-SAM,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ", MoOx; MoO3 ,Blank,Blank,Ag,0.102,nip,FALSE,1.5,160
27/02/2017 00:00,SLG ,FTO , ZnO,Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ", MoOx; MoO3 ,Blank,Blank,Al,0.1,nip,FALSE,1.6,10.66666667
15/12/2016 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, PFN ,Blank,Blank,Ag,0.04,pin,FALSE,1.6,11.11111111
16/02/2017 00:00,SLG ,FTO ," NiO; NiO-(c, nanowalls) ",Blank,Blank, Perovskite , PCBM-60; PCBM-70, PN4N ,Blank,Blank,Ag,0.1,pin,FALSE,1.6,53.33333333
16/02/2017 00:00,SLG ,FTO ," NiO; NiO-(c, nanowalls) ",Blank,Blank, Perovskite , PCBM-60; PCBM-70, PN4N ,Blank,Blank,Ag,0.1,pin,FALSE,1.6,16
07/03/2015 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70," ZnO; ZnO-(c, np)",Blank,Blank, Ag-nw,0.04,pin,FALSE,1.6,53.33333333
11/03/2019 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.1757,nip-mp,FALSE,1.57,66.71855888
28/07/2014 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite , Triazine-Th-OMeTPA ,Blank,Blank,Blank,Au,0.16,nip-mp,FALSE,1.6,55.61735261
13/06/2019 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ,Blank,Blank,Blank,Blank, Carbon,0.08,nip-mp-carbon,FALSE,1.6,423.1625835
16/02/2018 00:00,SLG ,FTO ," NiO; NiO-(c, nanowalls) ",Blank,Blank, Perovskite , PCBM-60; PCBM-70,Blank,Blank,Blank,Au,0.1,pin,FALSE,1.56,32.08913649
08/05/2014 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.16,nip-mp,FALSE,1.6,123.3460417
27/03/2017 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70,Blank,Blank,Blank,Ag,0.05725,pin,FALSE,1.6,67.41573034
